gauge	InnerCorner	OuterCorner	SWA	aiBlur	defocus	focusBlur
Chain_H_1_186	0.0527458	-0.0531111	-4.72061	-1.65265	-0.718097	-0.361642
Chain_H_1_187	0.0197376	-0.0189891	-4.45011	-1.60878	-0.701183	-0.352966
Chain_H_1_188	0.0587081	-0.0607013	-4.71127	-1.61556	-0.706434	-0.354991
Chain_H_1_189	0.281999	-0.297332	-7.04669	-0.175357	-0.272799	-0.0557657
Chain_H_1_19	0.240617	-0.651152	-6.37092	-0.306044	-0.540903	-0.0924402
Chain_H_1_190	0.298253	-0.289839	-7.04627	-0.163603	-0.278378	-0.0556533
Chain_H_1_191	0.267634	-0.302954	-7.06498	-0.16626	-0.284786	-0.0560841
Chain_H_1_2	0.316819	-0.790699	-6.51152	-0.225629	-0.332887	-0.0618521
Chain_H_1_20	0.242207	-0.676603	-6.43639	-0.300102	-0.551836	-0.0966102
Chain_H_1_206	0.000904816	0.0012866	-3.72648	-0.799514	-1.00403	-0.384183
Chain_H_1_207	0.0037812	-0.00159647	-3.90538	-0.798098	-1.04589	-0.387876
Chain_H_1_208	0.00210867	-9.39E-05	-3.89009	-0.805524	-1.04206	-0.392036
Chain_H_1_209	0.327961	-0.53015	-6.8224	-0.208925	-0.348642	0.00615559
Chain_H_1_21	0.257195	-0.674314	-6.41885	-0.270376	-0.553353	-0.111398
Chain_H_1_210	0.21566	-0.370806	-6.45521	-0.334272	-0.480196	-0.069346
Chain_H_1_211	0.182469	-0.330709	-6.78393	-0.249077	-0.262795	0.0402348
Chain_H_1_212	0.324706	-0.32687	-6.60102	-0.405047	-0.459369	-0.0627192
Chain_H_1_213	0.364291	-0.424255	-6.67546	-0.303352	-0.193068	0.0365315
Chain_H_1_214	0.0933347	-0.190551	-4.14787	-1.38512	-0.843262	-0.351099
Chain_H_1_215	0.131198	-0.239366	-4.15356	-1.37359	-0.831817	-0.352202
Chain_H_1_216	0.0677288	-0.141745	-4.13152	-1.36961	-0.850047	-0.346455
Chain_H_1_217	0.0719545	-0.137831	-4.14069	-1.36751	-0.855175	-0.345886
Chain_H_1_22	0.387547	-0.668083	-6.91303	-0.340721	-0.340649	-0.0457659
Chain_H_1_227	0.0586829	-0.052272	-4.6871	-1.6101	-0.710976	-0.355262
Chain_H_1_228	0.0569665	-0.0552252	-4.75701	-1.66179	-0.721778	-0.364116
Chain_H_1_229	0.0206228	-0.0157967	-4.45404	-1.62261	-0.705668	-0.356296
Chain_H_1_23	0.385111	-0.654557	-6.43687	-0.337161	-0.295793	-0.0558566
Chain_H_1_230	0.0567094	-0.0517675	-4.73643	-1.64494	-0.717451	-0.361282
Chain_H_1_231	0.0506533	-0.0500957	-4.61092	-1.57681	-0.70373	-0.357614
Chain_H_1_232	0.0384374	-0.0349593	-4.72516	-1.67094	-0.721088	-0.369342
Chain_H_1_233	0.0459523	-0.0290775	-4.54865	-1.66347	-0.736326	-0.370452
Chain_H_1_234	0.0532722	-0.0556874	-4.70505	-1.66614	-0.72756	-0.361643
Chain_H_1_235	0.0415959	-0.05493	-4.78202	-1.67449	-0.729128	-0.36187
Chain_H_1_236	0.0263069	-0.0240118	-4.50687	-1.63529	-0.709164	-0.356157
Chain_H_1_24	0.806455	-1.15542	-6.49217	-0.401827	-0.38052	-0.0663607
Chain_H_1_25	0.379934	-0.630712	-6.37511	-0.343813	-0.285092	-0.0513681
Chain_H_1_26	0.34759	-0.578487	-6.40888	-0.316026	-0.290496	-0.0544731
Chain_H_1_27	0.345876	-0.589434	-6.41874	-0.316847	-0.29075	-0.0546805
Chain_H_1_28	0.327632	-0.587394	-6.39073	-0.315844	-0.291139	-0.0546793
Chain_H_1_29	0.442648	-1.05833	-5.08734	-0.57307	-0.158048	-0.0493869
Chain_H_1_3	0.354474	-0.758375	-6.18922	-0.222991	-0.367476	-0.0692921
Chain_H_1_30	0.42863	-0.969251	-5.0685	-0.562372	-0.186525	-0.0585536
Chain_H_1_31	0.430524	-0.965726	-5.03946	-0.563408	-0.182234	-0.0582356
Chain_H_1_32	0.443877	-0.924959	-5.04486	-0.558202	-0.204199	-0.0574303
Chain_H_1_33	0.4405	-1.0285	-5.16884	-0.579009	-0.155144	-0.0487516
Chain_H_1_34	0.424778	-0.996417	-4.96161	-0.554698	-0.182008	-0.058252
Chain_H_1_35	0.428546	-0.993374	-4.93958	-0.560857	-0.173316	-0.0575659
Chain_H_1_36	0.304296	-0.51997	-6.87894	-0.29447	-0.381579	-0.0476299
Chain_H_1_37	0.24309	-0.4684	-6.37875	-0.3081	-0.333264	-0.0577289
Chain_H_1_38	0.287653	-0.512895	-6.48667	-0.307108	-0.336637	-0.057715
Chain_H_1_39	0.227045	-0.501285	-6.33362	-0.310954	-0.332645	-0.0578193
Chain_H_1_4	0.369083	-0.779806	-6.19703	-0.211554	-0.343123	-0.0684716
Chain_H_1_40	0.257646	-0.471978	-6.24697	-0.395529	-0.289695	-0.0298048
Chain_H_1_41	0.328398	-0.563896	-6.92433	-0.378979	-0.419377	-0.0711165
Chain_H_1_42	0.87218	-1.4722	-7.08866	-0.414704	-0.369786	-0.0765441
Chain_H_1_43	1.02026	-1.61127	-7.3987	-0.452314	-0.382976	-0.0823962
Chain_H_1_44	0.879202	-1.46795	-6.55916	-0.342522	-0.37368	-0.0673162
Chain_H_1_45	0.859037	-1.42823	-6.60507	-0.361565	-0.374615	-0.0604636
Chain_H_1_46	0.868822	-1.46641	-6.49727	-0.34168	-0.358015	-0.0669247
Chain_H_1_47	0.859047	-1.46261	-6.6084	-0.341327	-0.357001	-0.067807
Chain_H_1_48	0.0763956	-0.126942	-3.56264	-0.801724	-0.595308	-0.235678
Chain_H_1_49	0.0717414	-0.127031	-3.55082	-0.802272	-0.588878	-0.235688
Chain_H_1_5	0.287907	-0.740861	-6.47641	-0.306791	-0.41394	-0.0831383
Chain_H_1_50	0.043092	-0.249614	-3.8784	-0.672963	-0.466188	-0.161098
Chain_H_1_51	0.0799322	-0.318271	-4.2235	-0.853584	-0.528307	-0.175675
Chain_H_1_52	0.0510493	-0.267697	-3.94796	-0.723071	-0.465754	-0.170599
Chain_H_1_53	0.0496055	-0.278009	-3.96611	-0.74289	-0.472388	-0.175034
Chain_H_1_57	0.140335	-0.209064	-3.99267	-0.857357	-0.34579	-0.13844
Chain_H_1_58	0.149482	-0.192687	-3.92313	-0.846079	-0.351827	-0.134795
Chain_H_1_59	0.146805	-0.200922	-3.92547	-0.842713	-0.353099	-0.134608
Chain_H_1_6	0.35076	-0.774539	-6.1912	-0.186377	-0.33146	-0.0676071
Chain_H_1_60	0.140157	-0.317819	-4.1322	-0.812897	-0.317133	-0.135536
Chain_H_1_61	0.255742	-0.243216	-4.94889	-1.06928	-0.34909	-0.238552
Chain_H_1_62	0.277239	-0.25419	-5.01318	-1.07524	-0.351677	-0.237266
Chain_H_1_63	0.256236	-0.234276	-4.9507	-1.0693	-0.348914	-0.238991
Chain_H_1_7	0.275027	-0.673504	-6.01184	-0.286995	-0.402207	-0.0542617
Chain_H_1_74	0.0593727	-0.114314	-4.17327	-1.3838	-0.715131	-0.419103
Chain_H_1_75	0.106902	-0.212769	-3.93909	-1.17969	-0.504831	-0.274321
Chain_H_1_76	0.100086	-0.210272	-3.77591	-1.06544	-0.468334	-0.253143
Chain_H_1_77	0.102369	-0.15009	-3.76931	-1.16932	-0.457225	-0.270994
Chain_H_1_78	0.110438	-0.20388	-3.92922	-1.18155	-0.504643	-0.275437
Chain_H_1_79	0.110618	-0.203347	-3.987	-1.20254	-0.504879	-0.276616
Chain_H_1_8	0.359377	-0.76603	-6.21832	-0.202237	-0.347073	-0.0685522
Chain_H_1_80	0.0837483	-0.231609	-3.92292	-1.04582	-0.531868	-0.284351
Chain_H_1_81	0.0675381	-0.127649	-3.41901	-1.09984	-0.500484	-0.302825
Chain_H_1_89	0.0169499	-0.0152627	-4.5066	-1.63357	-0.716382	-0.361422
Chain_H_1_9	0.510469	-0.972951	-6.75274	-0.348977	-0.385012	-0.0797461
Chain_H_1_90	0.023626	-0.0162867	-4.40579	-1.53804	-0.694607	-0.34482
Chain_H_1_91	0.0261637	-0.0218257	-4.45971	-1.59768	-0.70904	-0.354672
Chain_H_1_92	0.023112	-0.0179295	-4.47359	-1.62256	-0.705603	-0.35655
Chain_H_1_93	0.0206224	-0.0189495	-4.45179	-1.61418	-0.702304	-0.353589
Chain_H_1_94	0.0196894	-0.0182638	-4.44185	-1.60256	-0.699489	-0.35151
Chain_H_1_95	0.292779	-0.280038	-7.05099	-0.182279	-0.278836	-0.0563713
Chain_H_1_96	0.293045	-0.286738	-7.02873	-0.176803	-0.276427	-0.0551888
Chain_H_1_97	0.271765	-0.297572	-7.01972	-0.184138	-0.281872	-0.0559729
Chain_V_1_100	0.0608778	-0.237533	-4.06901	-1.42585	-1.01033	-0.359984
Chain_V_1_101	0.067546	-0.226362	-3.96169	-1.32976	-0.988943	-0.349179
Chain_V_1_102	0.0668426	-0.232823	-3.98318	-1.33706	-0.991301	-0.34913
Chain_V_1_103	0.064714	-0.229316	-4.01356	-1.37415	-1.0043	-0.355575
Chain_V_1_104	0.231923	-0.471983	-6.38762	-0.252279	-0.348511	0.0230096
Chain_V_1_105	0.199126	-0.4448	-6.0308	-0.353562	-0.146766	0.0751472
Chain_V_1_106	0.151621	-0.284981	-3.72498	-0.856713	-1.23059	-0.487114
Chain_V_1_107	0.151299	-0.287336	-3.68082	-0.883445	-1.29035	-0.497022
Chain_V_1_108	0.147154	-0.279337	-3.7225	-0.856207	-1.23317	-0.486517
Chain_V_1_109	0.566153	-0.719234	-7.40426	-0.240503	-0.0171472	0.084456
Chain_V_1_110	0.48529	-0.600838	-7.3992	-0.245611	-0.184641	0.0559589
Chain_V_1_111	0.50327	-0.616457	-7.404	-0.240594	-0.174949	0.059968
Chain_V_1_123	0.0857668	-0.171699	-3.50888	-1.14933	-1.05821	-0.405653
Chain_V_1_124	0.0770733	-0.140259	-3.48502	-1.13977	-1.06184	-0.399806
Chain_V_1_125	0.0853409	-0.158011	-3.50165	-1.14688	-1.05586	-0.402444
Chain_V_1_126	0.083483	-0.12471	-3.46826	-1.12921	-1.06717	-0.396613
Chain_V_1_127	0.390544	-0.523332	-4.43723	-1.38055	-1.28735	-0.436706
Chain_V_1_128	0.404183	-0.522977	-4.59413	-1.30007	-1.2716	-0.436092
Chain_V_1_129	0.0956398	-0.111353	-3.82194	-1.53118	-1.04098	-0.411314
Chain_V_1_130	0.0948169	-0.112	-3.762	-1.48224	-1.06091	-0.415852
Chain_V_1_131	0.0955733	-0.10287	-3.83582	-1.52387	-1.04513	-0.410849
Chain_V_1_147	0.0945931	-0.24691	-4.88758	-0.681643	-0.326017	0.0178127
Chain_V_1_148	0.104594	-0.233532	-4.85	-0.692074	-0.317995	0.00876831
Chain_V_1_149	0.0910609	-0.233784	-4.85277	-0.691596	-0.325284	0.00956184
Chain_V_1_157	0.0862387	-0.155051	-3.58017	-0.781669	-0.566912	-0.220381
Chain_V_1_158	0.115068	-0.206742	-3.64121	-0.773367	-0.56334	-0.237273
Chain_V_1_159	0.0689462	-0.126433	-3.54248	-0.7662	-0.570112	-0.227543
Chain_V_1_160	0.373791	-0.737519	-5.12599	-0.798144	-0.36655	-0.105763
Chain_V_1_161	0.47522	-0.852151	-5.54951	-0.795649	-0.414704	-0.111615
Chain_V_1_162	0.359396	-0.732594	-5.15357	-0.75584	-0.355676	-0.098879
