gauge	InnerCorner	OuterCorner	SWA	aiBlur	defocus	focusBlur	mse
Chain_V_1_160	0.373791	-0.7375189999999999	-5.12599	-0.798144	-0.36655	-0.10576300000000001	1.8711869171580306
Chain_V_1_161	0.47522	-0.852151	-5.54951	-0.7956489999999999	-0.414704	-0.111615	2.0282538696368544
Chain_V_1_162	0.359396	-0.732594	-5.153569999999999	-0.75584	-0.35567600000000005	-0.098879	1.8770232621001595
Chain_V_1_163	0.47580100000000003	-0.852793	-5.542330000000001	-0.798772	-0.413317	-0.11177000000000001	2.0258975291738293
Chain_V_1_164	0.304832	-0.667618	-4.96119	-0.781563	-0.39004	-0.122127	1.8108765795239194
Chain_V_1_165	0.337378	-0.670899	-4.91098	-0.868268	-0.409028	-0.13747	1.8012618139293703
Chain_V_1_166	0.327135	-0.68167	-5.0465	-0.835449	-0.42465699999999995	-0.13984000000000002	1.8472068274584537
Chain_V_1_176	0.173871	-0.305088	-4.17815	-1.22547	-0.731471	-0.318098	1.6120003010589048
Chain_V_1_177	0.169631	-0.31006100000000003	-4.1772800000000005	-1.22394	-0.7295470000000001	-0.318441	1.6113166575812312
Chain_V_1_178	0.172965	-0.306542	-4.17945	-1.22843	-0.729061	-0.318184	1.612318142435295
Chain_V_1_179	0.170019	-0.30996399999999996	-4.179209999999999	-1.2207299999999999	-0.7279359999999999	-0.31819200000000003	1.6113612532502215
Chain_V_1_180	0.06353020000000001	-0.122029	-3.8073599999999996	-1.16103	-0.792361	-0.35785	1.4947605359687233
Chain_V_1_181	0.0840865	-0.18391500000000002	-3.87205	-1.17336	-0.796821	-0.361675	1.5184704509207305
Chain_V_1_182	0.07338760000000001	-0.128722	-3.77184	-1.13449	-0.800772	-0.353595	1.4825879590598818
Chain_V_1_192	0.0121971	-0.17760499999999999	-3.7265800000000002	-1.2960200000000002	-0.938939	-0.352593	1.5152516211377822
Chain_V_1_193	0.053892999999999996	-0.22282	-3.79331	-1.2947600000000001	-0.943896	-0.350934	1.5376171122207651
Chain_V_1_194	0.0654438	-0.235673	-3.87676	-1.3834	-0.9947290000000001	-0.368688	1.585373635107606
Chain_V_1_195	0.0495974	-0.216565	-3.7820400000000003	-1.24949	-0.921831	-0.34299	1.524031308766111
Chain_V_1_196	0.054173400000000003	-0.215038	-3.78009	-1.26829	-0.9290879999999999	-0.345339	1.5270759882478246
Chain_V_1_197	0.053887	-0.22185900000000003	-3.79455	-1.29595	-0.944406	-0.351101	1.5382295553801049
Chain_V_1_198	0.22580300000000003	-0.469951	-6.4277	-0.27702	-0.350265	0.022128799999999997	2.292172951101052
Chain_V_1_199	0.20138599999999998	-0.460074	-6.01095	-0.35438400000000003	-0.14970999999999998	0.0753022	2.138406006879097
Chain_V_1_200	0.144859	-0.282762	-3.8490900000000003	-0.871009	-1.26288	-0.49663599999999997	1.6088168783457768
Chain_V_1_201	0.147802	-0.28204	-3.7775300000000005	-0.890272	-1.3123200000000002	-0.49991800000000003	1.603908448198182
Chain_V_1_202	0.141645	-0.278306	-3.84896	-0.8696719999999999	-1.26662	-0.496921	1.6096680231605989
Chain_V_1_203	0.568341	-0.722934	-7.39895	-0.253808	-0.016658199999999998	0.0830506	2.637760758509078
Chain_V_1_204	0.490782	-0.600669	-7.42428	-0.24201	-0.186184	0.0571733	2.6430908707748277
Chain_V_1_205	0.500846	-0.606834	-7.4152	-0.239914	-0.175397	0.0607101	2.6400241955741857
Chain_V_1_218	0.084088	-0.162677	-3.54429	-1.10806	-1.0197	-0.389453	1.4617780728868355
Chain_V_1_219	0.0768978	-0.131891	-3.54299	-1.10921	-1.0279399999999999	-0.384376	1.4630516187024059
Chain_V_1_220	0.0817517	-0.154053	-3.5441199999999995	-1.1102	-1.02156	-0.38795999999999997	1.4622334690492267
Chain_V_1_221	0.0786939	-0.12443	-3.52875	-1.10371	-1.03958	-0.381465	1.461147800396242
Chain_V_1_222	0.359254	-0.47660600000000003	-4.565259999999999	-1.3259999999999998	-1.2238200000000001	-0.410854	1.8580264654287084
Chain_V_1_223	0.38955500000000004	-0.49775200000000003	-4.55492	-1.29467	-1.2359	-0.411178	1.8565556329030717
Chain_V_1_224	0.0899407	-0.10566500000000001	-3.9740699999999998	-1.5211700000000001	-1.0075	-0.384639	1.6324659592876083
Chain_V_1_225	0.0897956	-0.10476600000000001	-3.8013800000000004	-1.44066	-1.01739	-0.392727	1.5733925144955232
Chain_V_1_226	0.0879847	-0.10265999999999999	-3.9811400000000003	-1.52516	-1.01966	-0.384923	1.6378779858006478
Chain_V_1_54	0.089124	-0.238825	-4.967890000000001	-0.659602	-0.322774	0.0160793	1.7851048298216794
Chain_V_1_55	0.0988322	-0.22505100000000003	-4.93427	-0.6997329999999999	-0.316492	0.010524799999999999	1.7747420513328789
Chain_V_1_56	0.0912428	-0.22665700000000003	-4.93861	-0.704084	-0.32819	0.0106852	1.7772359809953444
Chain_V_1_64	0.0917796	-0.15609800000000001	-3.6110599999999997	-0.8154710000000001	-0.58663	-0.226886	1.361130912316903
Chain_V_1_65	0.11810699999999999	-0.210021	-3.6702800000000004	-0.811592	-0.5853520000000001	-0.24486599999999997	1.3818269241488785
Chain_V_1_66	0.0745299	-0.127053	-3.5634300000000003	-0.804796	-0.5930439999999999	-0.23584499999999997	1.3452766239305587
Chain_V_1_67	0.355672	-0.696566	-5.16028	-0.7484649999999999	-0.34838800000000003	-0.099386	1.8766458267076196
Chain_V_1_68	0.450479	-0.798049	-5.61698	-0.763666	-0.391662	-0.105698	2.0446525698066043
Chain_V_1_69	0.35031599999999996	-0.69765	-5.173430000000001	-0.711309	-0.33679499999999996	-0.0932143	1.8784553761846625
Chain_V_1_70	0.45478199999999996	-0.799878	-5.601030000000001	-0.76782	-0.392467	-0.106209	2.0396411291467427
Chain_V_1_71	0.284543	-0.623079	-4.90163	-0.735367	-0.373935	-0.119118	1.7842927412310317
Chain_V_1_72	0.334809	-0.64447	-5.0219	-0.8341559999999999	-0.394852	-0.13153399999999998	1.8346580058891424
Chain_V_1_73	0.318011	-0.6622	-5.1063	-0.801385	-0.40683800000000003	-0.132603	1.8631388996357399
Chain_V_1_82	0.173323	-0.30257	-4.01218	-1.20431	-0.729699	-0.319024	1.5559843588588864
Chain_V_1_83	0.168212	-0.306585	-3.99965	-1.20041	-0.726244	-0.318129	1.5509662727239588
Chain_V_1_84	0.174164	-0.30606500000000003	-4.00665	-1.20462	-0.7260810000000001	-0.31874600000000003	1.5536868377435331
Chain_V_1_85	0.160451	-0.305711	-3.97667	-1.1936200000000001	-0.7217560000000001	-0.317185	1.5419645840232115
Chain_V_1_86	0.0617984	-0.118716	-3.93022	-1.17439	-0.795687	-0.341501	1.535403448214286
Chain_V_1_87	0.07972280000000001	-0.179473	-3.96791	-1.13412	-0.767742	-0.345517	1.539349276400983
Chain_V_1_88	0.06805449999999999	-0.12279200000000001	-3.8805699999999996	-1.16029	-0.810883	-0.342237	1.521287513196891
Chain_V_1_98	0.0479847	-0.209075	-3.9576300000000004	-1.35046	-0.9934370000000001	-0.354734	1.6054275032379262
Chain_V_1_99	0.06298680000000001	-0.229042	-4.01297	-1.37173	-1.00479	-0.354959	1.6277593384972195
DLE1_34_0	-0.5643520000000001	5.70753	15.9223	3.0415799999999997	-1.1007799999999999	-0.0100605	6.1165808372209085
DLE1_34_1	-0.7117220000000001	5.898280000000001	16.2481	2.9807200000000003	-0.843568	-0.0104928	6.228128044432852
DLE1_34_10	-0.23105100000000003	3.17319	11.4959	1.4503	0.8999739999999999	0.22807199999999997	4.284616124577455
DLE1_34_11	-0.188096	2.8063	11.3479	1.66021	1.7510700000000001	0.492666	4.313978582346754
DLE1_34_12	-0.20575500000000002	3.02993	11.9859	1.7758200000000002	1.7634400000000001	0.575159	4.551072898001718
DLE1_34_13	-0.54291	4.2424599999999995	13.5436	1.71497	-0.156854	-0.1779	5.059260063519022
DLE1_34_14	-0.30749	2.38076	10.0833	0.964808	0.709484	0.106553	3.706207931045238
DLE1_34_15	-0.163501	1.8027099999999998	9.75141	0.8489030000000001	2.29555	0.67804	3.797293721548775
DLE1_34_16	-0.07137130000000001	1.3712799999999998	7.72975	0.729144	0.388802	0.0239165	2.7977728133437663
DLE1_34_17	-0.119478	0.9739200000000001	9.86315	-0.352015	2.77141	0.7388020000000001	3.9044270738661675
DLE1_34_18	-0.10924	0.9344290000000001	8.15987	0.126843	2.06495	0.593348	3.1746806109787244
DLE1_34_2	-0.648021	6.27107	17.4867	3.00867	-0.233456	-0.10864000000000001	6.659188482668599
DLE1_34_3	-0.481781	5.73474	16.8058	2.6996599999999997	0.478375	0.137935	6.359520299728402
DLE1_34_4	-0.325006	4.47496	14.1541	1.9870599999999998	0.674535	0.283353	5.313463224166043
DLE1_34_5	-0.270998	4.3288199999999994	14.1555	2.22434	1.27455	0.407005	5.352301810570955
DLE1_34_6	-0.28338800000000003	4.10525	13.8319	2.69771	2.2278	0.689963	5.372357613707796
DLE1_34_7	-0.308539	3.44521	13.0631	2.00894	2.71824	0.835458	5.117489203149151
DLE1_34_8	-0.21159	3.9263	14.2139	2.6358099999999998	1.7930000000000001	0.641215	5.414087564636643
DLE1_34_9	-0.49266800000000005	5.02064	14.6393	2.64013	-0.714661	-0.140829	5.570917703986571
DLE1_35_0	-0.540588	5.53534	15.4706	2.90482	-1.00045	-0.00993442	5.93414344275929
DLE1_35_1	-0.617046	5.53297	15.5045	2.7894200000000002	-0.8442290000000001	-0.0150661	5.9298322254313005
DLE1_35_10	-0.21488400000000002	3.10929	11.2129	1.45823	0.864893	0.22479899999999997	4.181268869541936
DLE1_35_11	-0.167255	2.83157	11.405	1.68661	1.7593599999999998	0.496986	4.3373015675795035
DLE1_35_12	-0.20108099999999998	2.94122	11.5955	1.7611	1.6929299999999998	0.555132	4.403897557974711
DLE1_35_13	-0.497996	4.00088	12.8042	1.7038200000000001	-0.172746	-0.179319	4.785750461893685
DLE1_35_14	-0.273336	2.26087	9.73479	0.969355	0.674657	0.104547	3.5754098972019452
DLE1_35_15	-0.151391	1.8110099999999998	9.633980000000001	0.869763	2.2559	0.670713	3.7514971199828846
DLE1_35_16	-0.05962180000000001	1.30444	7.51576	0.720271	0.35821	0.0241836	2.7179055636299525
