Version v0.1
#Ridge Detection testing
width	height	pixel	centerx	centery	bbox_xini	bbox_yini	bbox_xend	bbox_yend
offsetx	offsety	angle	weight	confidence	intensity	slope	band_width	ridge_intensity	curvature	contrast
226	666	1.1819181674904946	1	1	34982	-84.47603149794668	0	1160.0463557494982	0	0
226	665	1.1854722148052286	1	1	35728	-90.65762048500756	0	1197.5308477635044	0	0
227	664	1.2244591726119949	1	1	36272	-101.19348607084316	0	1214.1495029820578	0	0
227	663	1.22721391679485	1	1	36363	-106.76426498265027	0	1254.06794991445	0	0
227	662	1.2381131053671048	1	1	36277	-106.28469365716569	0	1261.2055588989203	0	0
227	661	1.254335551877754	1	1	36368	-100.76380674178267	0	1239.7249800511725	0	0
228	660	1.2673037747629856	1	1	36692	-95.97789439099097	0	1252.3618086322026	0	0
228	659	1.2816484300670963	1	1	36688	-94.94986723550142	0	1250.7056276949213	0	0
228	658	1.2937957295302054	1	1	36381	-92.01862650302292	0	1234.5633941904239	0	0
229	657	1.3047315012903362	1	1	36278	-88.95159817526519	0	1234.9850314234077	0	0
229	656	1.315749112165702	1	1	36812	-91.4830842164215	0	1248.7896992594528	0	0
229	655	1.3287119017329492	1	1	36860	-93.38866363528291	0	1254.1692931320724	0	0
229	654	1.3438799588183004	1	1	37046	-95.61964371582076	0	1255.2855777354134	0	0
230	653	1.3820734949591196	1	1	36972	-95.52130387551142	0	1255.469166851854	0	0
230	652	1.396375654614504	1	1	37601	-103.0153894315265	0	1285.1768620594476	0	0
230	651	1.4052113520290965	1	1	37853	-109.9871105246616	0	1308.2325605343585	0	0
230	650	1.4168717186233712	1	1	37865	-114.48595515132479	0	1318.9555887470729	0	0
230	649	1.4364026867403745	1	1	37871	-115.11869420737912	0	1315.0722071757891	0	0
230	648	1.4634365442700694	1	1	38017	-112.10056350191758	0	1300.4093316708818	0	0
230	647	1.4863908561731805	1	1	37395	-107.36522132542336	0	1283.1404770941106	0	0
230	646	1.4979171202915447	1	1	37359	-102.96788479002203	0	1270.6170405391601	0	0
231	645	1.5079087647493183	1	1	37732	-103.17108630371263	0	1279.0762106428267	0	0
231	644	1.5111967275624796	1	1	38153	-104.85074798713867	0	1294.122440530186	0	0
231	643	1.5167478808223163	1	1	38261	-106.35828596037572	0	1307.9728109833982	0	0
231	642	1.5335702647707876	1	1	38914	-107.3557759821474	0	1317.6109487820684	0	0
231	641	1.5615789152427515	1	1	38540	-108.41119233732616	0	1324.581438484763	0	0
231	640	1.5938538775913225	1	1	38443	-110.08661695040155	0	1332.1676448875614	0	0
